"","shape","rate"
"1",0,0
"2",0,0
"3",0,0
"4",0,0
"5",0,0
"6",0,0
"7",0,0
"8",0,0
"9",0,0
"10",0,0
"11",0,0
"12",0,0
"13",0,0
"14",0,0
"15",0,0
"16",0,0
"17",0,0
"18",0,0
"19",0,0
"20",0,0
"21",0,0
"22",0,0
"23",0,0
"24",0,0
"25",0,0
"26",0,0
"27",0,0
"28",0,0
"29",0,0
"30",0,0
"31",0,0
"32",0,0
"33",0,0
"34",0,0
"35",0,0
"36",0,0
"37",0,0
"38",0,0
"39",0,0
"40",0,0
"41",0,0
"42",0,0
"43",0,0
"44",0,0
"45",0,0
"46",0,0
"47",0,0
"48",0,0
"49",0,0
"50",0,0
"51",0,0
"52",9.2349955959555,3.29582270927384
"53",2.16263301718058,1.27382814150073
"54",0.0329083178255445,0.216274773922227
"55",1.40242764532597,1.38395878747814
"56",9.39710574293806,3.58737882648607
"57",93.7725891733817,28.2645496818079
"58",2.41637849923131,1.52971479064697
"59",0,0
"60",0,0
"61",3.12855303237461,1.81960021351375
"62",0,0
"63",58.1257301866737,18.9270819870026
"64",1.2791227167966,0.958220180408945
"65",2.67805723355951,1.64236926180972
"66",3.91254218870793,2.26060075994533
"67",1.69092650068149,1.33639263916453
"68",0,0
"69",0,0
"70",0,0
"71",5.20821822543012,2.47122178983153
"72",4.81631395113524,2.24663199384717
"73",56.4355116569146,18.2765248986044
"74",4.30228112074998,2.40641893314266
"75",19.3930697949894,6.42318518267912
"76",0,0
"77",0,0
"78",1.34950405828858,0.986106819403225
"79",51.4703369643213,15.8326462651119
"80",10.7078296311265,3.74146360109079
"81",28.7441923426788,8.83165446775591
"82",14.3847009499755,4.50883115509879
"83",3.19056517125564,2.19965480711282
"84",0,0
"85",4.10878340525887,2.08880489130416
"86",0,0
"87",0.779832695203168,0.776160540015287
"88",0,0
"89",1.40242764532597,1.38395878747814
"90",3.19056517125564,2.19965480711282
"91",18.0826740544735,5.703691419042
"92",7.79839707849445,2.96010207915167
"93",0,0
"94",0,0
"95",0,0
"96",0,0
"97",0,0
"98",0,0
"99",0,0
"100",0,0
"101",0,0
"102",0,0
"103",0,0
"104",0,0
"105",0,0
"106",0,0
"107",0,0
"108",0,0
"109",0,0
"110",0,0
"111",0,0
"112",0,0
"113",0,0
"114",2.30514338819916,1.32685322684801
"115",0,0
"116",0,0
"117",0,0
"118",197.691603893722,58.0479064216181
"119",0,0
"120",0,0
"121",0,0
"122",0,0
"123",0,0
"124",0,0
"125",6.81240634217505,2.30300606725492
"126",1.55170898024709,1.01706103775829
"127",1.37877406736689,0.848235330745654
"128",9.54812521679757,3.92623033287411
"129",0.639302949679709,0.689219221178567
"130",0,0
"131",6.85610644859453,3.33199979933949
"132",197.691603893722,58.0479064216181
"133",9.96564635999658,4.19671704891494
"134",9.06927585937057,4.39914843801068
"135",0,0
"136",0,0
"137",5.17690789529944,2.98952625611566
"138",0,0
