"","meanlog","sdlog"
"1",0,0
"2",0,0
"3",0,0
"4",0,0
"5",0,0
"6",0,0
"7",0,0
"8",0,0
"9",0,0
"10",0,0
"11",0,0
"12",0,0
"13",0,0
"14",0,0
"15",0,0
"16",0,0
"17",0,0
"18",0,0
"19",0,0
"20",0,0
"21",0,0
"22",0,0
"23",0,0
"24",0,0
"25",0,0
"26",0,0
"27",0,0
"28",0,0
"29",0,0
"30",0,0
"31",0,0
"32",0,0
"33",0,0
"34",0,0
"35",0,0
"36",0,0
"37",0,0
"38",0,0
"39",0,0
"40",0,0
"41",0,0
"42",0,0
"43",0,0
"44",0,0
"45",0,0
"46",0,0
"47",0,0
"48",0,0
"49",0,0
"50",0,0
"51",0,0
"52",1.03406098282662,0.280548454360468
"53",0.603783149235548,0.465985538112629
"54",-2.2686543285034,1.55710246278157
"55",0.224456653631514,0.494899045822565
"56",0.975485923886164,0.273798135942068
"57",1.20320018305206,0.0961938345785789
"58",0.53948872275523,0.444701546768594
"59",0,0
"60",0,0
"61",0.627217790532946,0.397133347701168
"62",0,0
"63",1.13255801760832,0.117747585451404
"64",0.40624789656639,0.549206619077531
"65",0.587412669490289,0.417565875212373
"66",0.635388063303683,0.360916336707447
"67",0.378398678470976,0.484961504371267
"68",0,0
"69",0,0
"70",0,0
"71",0.783580540239933,0.339706079651052
"72",0.795571329513405,0.353647121371495
"73",1.13542934496956,0.120885449975615
"74",0.655979980640178,0.351657207548232
"75",1.11067245945959,0.200680064042851
"76",0,0
"77",0,0
"78",0.398122413718279,0.556620437542375
"79",1.18374692066579,0.127687500153989
"80",1.05560658909943,0.26276930609152
"81",1.18180378054777,0.169655365429526
"82",1.16124634977675,0.230677524136768
"83",0.495538789372453,0.379542588620389
"84",0,0
"85",0.738012704928521,0.363116069594038
"86",0,0
"87",0.189748852098662,0.625123644841559
"88",0,0
"89",0.224456653631514,0.494899045822565
"90",0.495538789372453,0.379542588620389
"91",1.15463742731151,0.209415740461982
"92",0.976708475423351,0.299388889021955
"93",0,0
"94",0,0
"95",0,0
"96",0,0
"97",0,0
"98",0,0
"99",0,0
"100",0,0
"101",0,0
"102",0,0
"103",0,0
"104",0,0
"105",0,0
"106",0,0
"107",0,0
"108",0,0
"109",0,0
"110",0,0
"111",0,0
"112",0,0
"113",0,0
"114",0.608170434355481,0.465066419832764
"115",0,0
"116",0,0
"117",0,0
"118",1.2288133870614,0.0670797768997189
"119",0,0
"120",0,0
"121",0,0
"122",0,0
"123",0,0
"124",0,0
"125",1.07400598957364,0.327842741299806
"126",0.494339784580753,0.532810424155761
"127",0.515541767408015,0.578285697477975
"128",0.916983415862404,0.263762163075478
"129",0.0550016014555857,0.699829102200516
"130",0,0
"131",0.772842605864433,0.295438485082594
"132",1.2288133870614,0.0670797768997189
"133",0.893470489465126,0.258936069199239
"134",0.778598314556638,0.258858983647404
"135",0,0
"136",0,0
"137",0.635398258785663,0.319870604656457
"138",0,0
