"","scale","shape"
"139",1.10803091980761,1.27176038766444
"140",0.839250314409912,0.976193550753142
"141",1.53585526269794,2.22180335538863
"142",2.40473366666574,3.02732147592101
"143",1.91968765265749,2.15570964128983
"144",2.41087866631098,3.15727733404264
"145",0,0
"146",0,0
"147",0,0
"148",0,0
"149",0,0
"150",0,0
"151",0,0
"152",0,0
"153",0,0
"154",1.61186817596316,2.00225133159895
"155",2.68697159267831,2.8183432883896
"156",1.41050934961082,2.11617638546906
"157",2.18812421768675,2.47157520356399
"158",0,0
"159",0,0
"160",3.33602032402151,2.97044585541963
"161",2.82462824319624,2.95919675581576
"162",2.67245998762942,2.85958975371391
"163",3.49016981391446,3.36404212899447
"164",2.91817368338132,2.35924705540198
"165",0,0
"166",0,0
"167",1.755021170954,2.33384804306099
"168",1.28774014823372,1.76847320037779
"169",1.60807607050891,2.43307637583575
"170",0,0
"171",0,0
"172",0,0
"173",0,0
"174",2.28464798284544,2.38357728182297
"175",1.75094219859321,2.38288302182174
"176",2.02921316390348,2.6723956074191
"177",1.84042235523471,2.455912638535
"178",2.91817368338132,2.35924705540198
"179",2.00331945642252,2.4338771998761
"180",0,0
"181",0,0
"182",0,0
"183",0,0
"184",0,0
"185",0,0
"186",0,0
"187",2.81737906619551,3.16305407236991
"188",3.36151449396377,3.75402846349021
"189",2.77008083681729,3.34573668829407
"190",2.7469934349838,3.56657255103448
"191",3.20632542378666,3.54409866247432
"192",2.07101150545337,2.68324656140255
"193",1.60640443869406,2.3609246382125
"194",4.43083976677526,4.44846617234279
"195",4.48748451206401,4.42906910596218
"196",5.14498606515438,4.66485853370474
"197",3.31792012609009,3.51906136438993
"198",2.47417033084037,3.02485108537021
"199",5.186496291463,4.63761791874481
"200",3.81216801286011,4.11960631605314
"201",2.00473691713584,2.56184859772402
"202",3.02177071123721,3.49907187131267
"203",5.08034372472019,4.82504694456807
"204",2.61909052436907,3.39439694704054
"205",1.48187320195044,1.88595709905421
"206",2.00578188760778,2.73496141626314
"207",1.12166661487306,1.55884065868296
"208",2.10079718542399,2.75303242845111
"209",2.79489529865235,2.80141669821395
"210",1.74327908172033,1.92390831623707
"211",1.6378031828389,2.23053841088357
"212",1.77363274887929,2.28873091700049
"213",2.39867492162054,2.84861521113883
"214",2.18327585470182,2.58809045735141
"215",1.29804782564732,1.68485718655611
"216",2.5586874825097,2.95024458003227
"217",2.21805328860061,2.60364991351183
"218",2.32610133383583,2.319377633578
"219",1.19961688326689,1.26880922009329
"220",1.92976277599398,2.50804900774286
"221",1.8854603798017,2.40797253857154
"222",2.22728655309843,2.00803084208494
"223",2.91817368338132,2.35924705540198
"224",1.37195610993211,1.58869365216497
"225",2.33318008100103,2.77124479584614
"226",1.72137903678091,2.16655955322921
"227",0,0
"228",2.80670433799219,3.0423528687535
"229",2.9233201094952,3.13237903005644
"230",3.06985568373343,3.03074050812025
"231",1.67472683320227,1.78779446001937
"232",1.579165772131,1.49807181058511
"233",1.34072553571795,1.43269426958602
"234",2.40214530180406,2.88010650487031
"235",2.04554075737227,2.39549751273781
"236",2.11006976001849,2.62117022555292
"237",2.31465673037762,3.21021000803528
"238",3.11333465318147,4.00221435104691
"239",1.51931839753957,1.61930779558773
"240",1.22413340299506,1.61603084181577
"241",1.80279472112615,2.71372940216926
"242",3.04072099376367,3.32840555697096
"243",2.32607409570698,2.88309489689538
"244",1.14479752239358,1.31760090789476
"245",0,0
"246",2.39951385160522,2.69390295885533
"247",1.50225793959916,1.71960969286018
"248",2.7027333474995,2.81071167029367
"249",1.95822927570555,2.08883924069526
"250",1.76411275626759,2.46551476719222
"251",2.38895224039856,2.6800822535688
"252",2.09500102004603,2.48870681209359
"253",0,0
"254",0,0
"255",0,0
"256",0,0
"257",0,0
"258",0,0
"259",0,0
"260",0,0
"261",0,0
"262",0,0
"263",0,0
"264",0,0
"265",0,0
"266",0,0
"267",0,0
"268",0,0
"269",0,0
"270",0,0
"271",0,0
"272",0,0
"273",0,0
"274",0,0
"275",0,0
"276",0,0
"277",0,0
"278",0,0
"279",0,0
"280",0,0
"281",0,0
"282",0,0
"283",0,0
"284",0,0
"285",0,0
"286",0,0
"287",0,0
"288",0,0
"289",0,0
"290",0,0
"291",0,0
"292",0,0
"293",0,0
"294",0,0
"295",0,0
"296",0,0
"297",0,0
"298",0,0
